WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
410 0 0 5 17 0 0 0 0 0 13 43 0 0 0 14 31 0 0 23 0 0 0 50 10 3
510 0 0 2 21 0 0 0 0 0 6 30 0 0 0 16 30 0 0 27 0 0 0 41 4 0
610 0 0 4 17 0 0 0 0 0 10 31 0 0 0 13 30 0 0 16 0 0 1 45 10 0
710 0 0 0 17 0 0 0 0 0 3 13 0 0 0 5 17 0 0 14 0 0 0 18 2 0
810 0 0 2 26 0 0 0 0 0 11 20 0 0 0 12 37 0 0 23 0 0 0 35 5 1
97 7 0 4 31 0 0 0 0 0 11 22 0 0 0 13 38 0 0 35 0 0 0 73 8 0
101 1 0 3 23 0 0 0 0 0 8 21 0 0 0 12 74 0 0 21 0 0 0 46 8 1
111 2 0 60 22 0 0 0 0 0 7 21 0 0 0 15 33 0 0 25 0 0 0 50 8 0
121 2 0 5 18 0 0 0 0 0 7 24 0 0 0 11 23 0 0 17 0 0 0 41 11 1
131 3 0 7 33 0 0 0 0 0 9 50 0 0 0 11 47 0 0 23 0 0 0 61 5 0
141 2 0 8 23 0 0 0 0 0 11 34 0 0 0 20 35 0 0 26 0 0 0 66 8 0
151 2 0 8 58 0 0 0 0 0 9 19 0 0 0 20 49 0 26 28 0 0 0 71 14 2
161 0 1 4 14 0 0 0 0 0 6 39 0 0 0 10 30 0 0 20 0 0 0 37 30280 0
171 1 0 7 49 0 0 0 0 0 15 47 0 0 0 27 60 0 0 59 0 0 0 105 7 1
181 1 0 13 25 0 0 0 0 0 10 55 0 0 0 19 37 0 0 19 0 0 1 60 7 0
191 3 0 10 37 0 0 0 0 0 12 38 0 0 0 22 52 0 0 35 0 0 2 72 10 2
201 0 0 4 31 0 0 0 0 0 8 33 0 0 0 17 144940 0 0 28 0 0 0 51 10 0
211 1 0 0 16 0 0 0 0 0 3 13 0 0 0 7 26 0 0 18 0 0 0 38 6 0
221 1 0 5 21 0 0 0 0 0 7 18 0 0 0 6 39 0 0 14 0 0 0 28 3 2
231 0 0 4 27 0 0 0 0 0 5 19 0 0 0 18 39 0 0 15 0 0 0 34 5 1
241 0 0 2 21 0 0 0 0 0 3 20 0 0 0 10 20 0 0 13 0 0 0 25 8 1
251 1 0 10 29 0 0 0 0 0 7 44666 0 0 0 22 55 0 0 30 0 0 0 82 24 0
261 2 0 1 21 0 0 0 0 0 5 30 0 0 0 8 20 0 0 13 0 0 0 37 8 1
271 5165 0 10 45 0 0 0 0 0 22 46 0 0 0 25 68 0 0 37 0 0 2 78 15 0
281 0 0 8 32 0 0 0 0 0 14 28 0 0 0 13 54 0 0 31 0 0 0 55 6 1
